image_id,healthy,multiple_diseases,rust,scab
Test_0,0.0006582877,0,0.9867292643,0.0001453822
Test_1,0.0014476178,0,0.9629927874,0.0008498112
Test_2,0.000076687,0,4.38127681263723E-05,0.9993041158
Test_3,0.9991631508,0,0.0003841743,0.0001666989
Test_4,0.0005859236,0,0.9932239652,0.0004593804
Test_5,0.9921104312,0,0.0013861194,0.0032275836
Test_6,0.9977360964,0,0.0005363881,0.0008514958
Test_7,0.0023463666,0,0.0034925335,0.9778801203
Test_8,0.0101550557,0,0.0260498039,0.8983057737
Test_9,0.0001143018,0,0.9881082773,0.0001064274
Test_10,0.0011634412,0,0.9942629933,0.0002463607
Test_11,0.9920893908,0,0.0055668107,0.0005955949
Test_12,0.0035612087,0,0.0014974123,0.8183462024
Test_13,0.9964965582,0,0.0007824061,0.0003429553
Test_14,0.0164151154,0,0.9510864019,0.0018612186
Test_15,0.0124952123,0,0.97582376,0.0013579632
Test_16,0.990670979,0,0.0021115206,0.0030240254
Test_17,0.0003358735,0,0.0013606088,0.9925376773
Test_18,0.0539114363,0,0.0244379696,0.8352943659
Test_19,2.64409463852644E-05,0,0.9994702339,8.99087899597362E-05
Test_20,0.0008136189,0,8.77127895364538E-05,0.9985772967
Test_21,0.994775176,0,0.0012573937,0.0025335869
Test_22,0.0025857645,0,0.9716119766,0.0010536148
Test_23,0.0003839925,0,0.0005567445,0.9973729253
Test_24,0.9823303223,0,0.0005158202,0.0026278747
Test_25,0.0016914147,0,0.0012717624,0.9925516248
Test_26,0.0635624677,0,0.0218468681,0.805059135
Test_27,1.46946604218101E-05,0,0.9990857244,1.16749415610684E-05
Test_28,0.9952048063,0,0.0007597039,0.0009014524
Test_29,0.0110080456,0,0.0972335786,0.0331307016
Test_30,0.9656945467,0,0.0007211135,0.0248287823
Test_31,0.0006084432,0,0.9496408701,0.0004254716
Test_32,0.1293974072,0,0.1394043416,0.601531148
Test_33,0.008705575,0,0.0035263407,0.9768921137
Test_34,0.0094848573,0,0.0043186443,0.9688341022
Test_35,0.0015032988,0,0.0010863983,0.9944956899
Test_36,0.0001112528,0,0.9982860684,0.0001145516
Test_37,0.0256985221,0,0.0004301885,0.9434127808
Test_38,8.09622179076541E-06,0,2.06643817364238E-05,0.9992593527
Test_39,0.001014017,0,0.9952514768,0.0014737681
